client_id,age,situation_familiale,statut_logement,type_logement,surface_m2,region,patrimoine_estime,revenu_annuel,assureur,garanties,exclusions,nombre_garanties,montant_couvert,cotisation_annuelle,sinistres_déclarés,dernier_sinistre,résiliation_précédente,paiements_en_retard
CLT00001,74,Veuf(ve),Propriétaire,Maison mitoyenne,123,Provence-Alpes-Côte d'Azur,39360,26504,"Covéa (MMA, MAAF, GMF)","['Attentats matériels', 'Responsabilité civile', 'Catastrophes naturelles']","['Incendie, foudre, explosion, vandalisme', 'Dommages électriques, climatiques, inondation', 'Vol']",3,36901,1637,3,2025-02-19,Oui,Non
CLT00002,23,En couple,Propriétaire,Appartement,83,Auvergne-Rhône-Alpes,24900,51971,"Covéa (MMA, MAAF, GMF)","['Catastrophes naturelles', 'Responsabilité civile']",['Vol'],2,10408,748,2,2025-01-14,Non,Non
CLT00003,32,Divorcé(e),Propriétaire,Maison mitoyenne,150,Provence-Alpes-Côte d'Azur,48000,28716,Matmut,"['Catastrophes naturelles', 'Attentats matériels', 'Responsabilité civile']",['Vol'],3,34769,1152,1,2024-03-27,Non,Non
CLT00004,36,Divorcé(e),Propriétaire,Appartement,49,Auvergne-Rhône-Alpes,14700,39057,"Covéa (MMA, MAAF, GMF)",['Attentats matériels'],"['Tempête, grêle, neige']",1,5075,378,2,2022-10-20,Non,Non
CLT00005,54,Célibataire,Propriétaire,Appartement,77,Nouvelle-Aquitaine,23870,48385,Macif (Aéma Groupe),['Catastrophes naturelles'],['Assistance'],1,19728,443,1,2025-03-24,Oui,Non
CLT00006,29,Marié(e),Locataire,Appartement,76,Provence-Alpes-Côte d'Azur,24320,47797,Crédit Agricole Assurances (Pacifica),"['Attentats matériels', 'Responsabilité civile', 'Catastrophes naturelles']","['Vol', 'Assistance']",3,21790,505,3,2025-03-25,Non,Non
CLT00007,48,En couple,Propriétaire,Appartement,84,Nouvelle-Aquitaine,26040,51854,Matmut,"['Catastrophes naturelles', 'Attentats matériels', 'Responsabilité civile']","['Vol', 'Dommages électriques, climatiques, inondation', 'Incendie, foudre, explosion, vandalisme']",3,17408,1118,3,2024-07-19,Non,Non
CLT00008,41,En couple,Locataire,Appartement,55,Nouvelle-Aquitaine,17050,23167,Crédit Agricole Assurances (Pacifica),['Catastrophes naturelles'],"['Tempête, grêle, neige']",1,5000,212,2,2023-08-03,Non,Non
CLT00009,57,En couple,Propriétaire,Appartement,77,Provence-Alpes-Côte d'Azur,24640,24046,Crédit Agricole Assurances (Pacifica),"['Responsabilité civile', 'Attentats matériels']","['Incendie, foudre, explosion, vandalisme', 'Bris de glace, véranda, capteurs solaires', 'Dommages électriques, climatiques, inondation']",2,22838,694,2,2024-09-30,Oui,Non
CLT00010,39,Célibataire,Locataire,Appartement,47,Nouvelle-Aquitaine,14570,44937,Macif (Aéma Groupe),"['Catastrophes naturelles', 'Attentats matériels']",['Vol'],2,5000,211,2,2023-01-06,Non,Non
CLT00011,56,En couple,Locataire,Maison mitoyenne,140,Nouvelle-Aquitaine,43400,52208,"Covéa (MMA, MAAF, GMF)","['Catastrophes naturelles', 'Attentats matériels']","['Tempête, grêle, neige', ""Dégât des eaux, gel, refoulement d'égout"", 'Dommages électriques, climatiques, inondation']",2,5990,815,3,2024-12-17,Non,Non
CLT00012,64,Célibataire,Locataire,Maison individuelle isolée,126,Auvergne-Rhône-Alpes,37800,26163,Matmut,"['Attentats matériels', 'Catastrophes naturelles']","['Incendie, foudre, explosion, vandalisme', 'Vol', 'Tempête, grêle, neige']",2,6262,568,2,2023-08-20,Non,Non
CLT00013,63,Marié(e),Locataire,Maison mitoyenne,126,Provence-Alpes-Côte d'Azur,40320,45748,"Covéa (MMA, MAAF, GMF)","['Responsabilité civile', 'Catastrophes naturelles', 'Attentats matériels']","[""Dégât des eaux, gel, refoulement d'égout"", ""Protection corporelle de l'assuré""]",3,9174,649,2,2022-12-15,Non,Non
CLT00014,75,Marié(e),Locataire,Maison mitoyenne,114,Provence-Alpes-Côte d'Azur,36480,30497,Groupe des Assurances du Crédit Mutuel,"['Responsabilité civile', 'Attentats matériels']","[""Protection corporelle de l'assuré""]",2,29329,663,3,2022-12-07,Oui,Oui
CLT00015,63,Célibataire,Propriétaire,Maison individuelle isolée,165,Occitanie,46200,27247,Macif (Aéma Groupe),['Responsabilité civile'],['Vol'],1,45195,950,1,2024-09-13,Non,Non
